num_trotter_steps,time,vacuum_persistence_probability,000000000000,000100101001,eletric_energy,101001000100,001000010110,010110001000
2,0.05,,1023.0,1.0,0.005208333333333333,,,
2,0.20526315789473687,,981.0,11.0,0.22395833333333331,9.0,11.0,12.0
2,0.3605263157894737,,914.0,28.0,0.5729166666666665,31.0,26.0,25.0
2,0.5157894736842106,,799.0,66.0,1.171875,48.0,62.0,49.0
2,0.6710526315789475,,729.0,88.0,1.536458333333333,65.0,86.0,56.0
2,0.8263157894736843,,622.0,131.0,2.09375,96.0,97.0,78.0
2,0.9815789473684211,,620.0,110.0,2.1041666666666665,101.0,120.0,73.0
2,1.136842105263158,,579.0,153.0,2.317708333333333,88.0,118.0,86.0
2,1.2921052631578949,,625.0,143.0,2.078125,82.0,104.0,70.0
2,1.4473684210526316,,692.0,133.0,1.7291666666666665,69.0,79.0,51.0
2,1.6026315789473686,,778.0,108.0,1.28125,44.0,63.0,31.0
2,1.7578947368421054,,849.0,84.0,0.9114583333333333,27.0,46.0,18.0
2,1.9131578947368422,,892.0,60.0,0.6875,15.0,22.0,35.0
2,2.068421052631579,,920.0,49.0,0.5416666666666666,16.0,8.0,31.0
2,2.223684210526316,,927.0,36.0,0.5052083333333334,9.0,1.0,51.0
2,2.3789473684210525,,872.0,50.0,0.7916666666666666,35.0,,67.0
2,2.5342105263157895,,848.0,59.0,0.9166666666666666,31.0,3.0,83.0
2,2.6894736842105265,,763.0,91.0,1.3593749999999998,52.0,6.0,112.0
2,2.844736842105263,,731.0,112.0,1.5260416666666663,59.0,10.0,112.0
2,3.0,,609.0,156.0,2.161458333333333,80.0,18.0,161.0
3,0.05,,1022.0,,0.010416666666666666,1.0,1.0,
3,0.20526315789473687,,982.0,10.0,0.21875,13.0,7.0,12.0
3,0.3605263157894737,,914.0,36.0,0.5729166666666666,32.0,16.0,26.0
3,0.5157894736842106,,794.0,62.0,1.1979166666666665,55.0,50.0,63.0
3,0.6710526315789475,,706.0,84.0,1.6562499999999998,81.0,85.0,68.0
3,0.8263157894736843,,664.0,91.0,1.875,80.0,114.0,75.0
3,0.9815789473684211,,599.0,123.0,2.2135416666666665,99.0,118.0,85.0
3,1.136842105263158,,642.0,115.0,1.9895833333333333,89.0,91.0,87.0
3,1.2921052631578949,,701.0,98.0,1.6822916666666665,76.0,86.0,63.0
3,1.4473684210526316,,790.0,83.0,1.21875,55.0,60.0,36.0
3,1.6026315789473686,,885.0,53.0,0.7239583333333333,32.0,29.0,25.0
3,1.7578947368421054,,965.0,31.0,0.30729166666666663,9.0,10.0,9.0
3,1.9131578947368422,,1003.0,10.0,0.109375,2.0,,9.0
3,2.068421052631579,,1004.0,5.0,0.10416666666666667,3.0,2.0,10.0
3,2.223684210526316,,948.0,29.0,0.3958333333333333,11.0,9.0,27.0
3,2.3789473684210525,,883.0,56.0,0.734375,24.0,29.0,32.0
3,2.5342105263157895,,773.0,111.0,1.3072916666666665,44.0,51.0,45.0
3,2.6894736842105265,,690.0,159.0,1.739583333333333,61.0,68.0,46.0
3,2.844736842105263,,569.0,233.0,2.3697916666666665,66.0,112.0,44.0
3,3.0,,512.0,273.0,2.6666666666666665,60.0,134.0,45.0
